Date,Open,High,Low,Close,Adj Close,Volume
1997-01-09,75.062500,75.875000,74.937500,75.312500,48.409267,1415700
1997-01-10,74.250000,76.250000,74.250000,76.125000,48.931530,2369500
1997-01-13,76.500000,76.500000,75.640625,76.015625,48.861221,1364600
1997-01-14,76.687500,77.390625,76.500000,76.968750,49.473885,2111200
1997-01-15,76.718750,77.203125,76.375000,76.781250,49.353348,1583900
1997-01-16,77.031250,77.296875,76.500000,77.093750,49.554218,1308400
1997-01-17,77.203125,77.750000,77.109375,77.562500,49.855518,1604000
1997-01-20,77.750000,78.093750,77.468750,77.656250,49.915771,1889900
1997-01-21,77.375000,78.546875,77.109375,78.281250,50.317539,2785800
1997-01-22,78.312500,78.843750,77.875000,78.843750,50.679089,1201600
1997-01-23,79.062500,79.687500,76.906250,77.750000,49.976051,2601100
1997-01-24,77.875000,77.906250,76.750000,76.750000,49.333256,2176000
1997-01-27,76.875000,77.234375,76.375000,76.531250,49.192635,2108500
1997-01-28,77.625000,77.843750,76.000000,76.750000,49.333256,4376000
1997-01-29,76.875000,77.500000,76.593750,77.500000,49.815353,1122700
1997-01-30,77.875000,78.531250,77.406250,78.500000,50.458099,2126300
1997-01-31,78.937500,79.406250,78.375000,78.406250,50.397854,3208100
1997-02-03,78.718750,78.890625,78.359375,78.640625,50.548515,755000
1997-02-04,78.750000,79.203125,78.437500,79.125000,50.859863,654100
1997-02-05,79.234375,79.468750,77.125000,77.640625,49.905731,2255400
1997-02-06,77.781250,78.203125,77.406250,78.156250,50.237164,2483100
1997-02-07,78.812500,79.250000,77.781250,79.218750,50.920101,2321000
1997-02-10,79.250000,79.531250,78.421875,78.468750,50.438049,1670000
1997-02-11,78.781250,79.375000,78.125000,79.375000,51.020550,1664300
1997-02-12,79.375000,80.640625,79.265625,80.500000,51.743675,2675400
1997-02-13,80.812500,81.562500,80.687500,81.375000,52.306114,1104800
1997-02-14,81.187500,81.468750,80.906250,81.187500,52.185570,1112900
1997-02-18,81.343750,81.937500,80.750000,81.875000,52.627468,833100
1997-02-19,81.656250,82.000000,81.156250,81.328125,52.275951,648100
1997-02-20,81.031250,81.359375,80.156250,80.343750,51.643257,1193900
1997-02-21,80.406250,80.765625,80.140625,80.375000,51.663338,1844400
1997-02-24,79.968750,81.375000,79.968750,81.328125,52.275951,787300
1997-02-25,81.406250,81.531250,80.875000,81.390625,52.316139,1653900
1997-02-26,81.312500,81.437500,79.625000,80.593750,51.803932,1597800
1997-02-27,80.812500,80.812500,79.375000,79.390625,51.030586,1813100
1997-02-28,79.250000,79.875000,79.062500,79.156250,50.879944,2961200
1997-03-03,78.750000,79.750000,78.687500,79.687500,51.221424,1210400
1997-03-04,79.906250,80.125000,79.093750,79.250000,50.940208,1478700
1997-03-05,79.718750,80.593750,79.453125,80.593750,51.803932,1254800
1997-03-06,80.625000,80.906250,79.875000,80.125000,51.502655,1528500
1997-03-07,80.437500,81.156250,80.250000,80.843750,51.964634,1859300
1997-03-10,80.937500,81.687500,80.546875,81.687500,52.506977,1074900
1997-03-11,81.750000,81.796875,81.250000,81.250000,52.225754,624600
1997-03-12,81.312500,81.343750,80.296875,80.531250,51.763748,1055600
1997-03-13,80.250000,80.468750,79.062500,79.281250,50.960297,2514100
1997-03-14,79.640625,80.031250,79.250000,79.687500,51.221424,1642700
1997-03-17,79.250000,80.031250,78.437500,79.906250,51.362034,3013500
1997-03-18,80.000000,80.109375,78.718750,79.046875,50.809643,1352500
1997-03-19,78.843750,79.500000,78.062500,78.781250,50.638916,1510000
1997-03-20,78.750000,79.000000,77.875000,78.375000,50.377754,1808200
1997-03-21,78.687500,78.750000,78.343750,78.437500,50.611053,2810600
1997-03-24,78.500000,79.578125,78.093750,79.531250,51.316780,2145600
1997-03-25,79.343750,79.968750,78.531250,78.750000,50.812649,2125800
1997-03-26,79.062500,79.656250,78.687500,79.093750,51.034462,1335300
1997-03-27,79.375000,79.375000,76.156250,77.000000,49.683487,2898500
1997-03-31,76.906250,77.125000,75.250000,75.375000,48.634987,4270700
1997-04-01,75.250000,76.187500,75.046875,75.859375,48.947517,3210900
1997-04-02,75.625000,75.937500,74.437500,74.500000,48.070400,2672700
1997-04-03,74.437500,75.125000,74.187500,74.906250,48.332523,2284200
1997-04-04,74.500000,75.859375,74.156250,75.843750,48.937439,3706700
1997-04-07,76.187500,76.625000,76.140625,76.140625,49.128986,2596200
1997-04-08,76.125000,76.781250,75.843750,76.687500,49.481880,1822700
1997-04-09,77.000000,77.046875,75.843750,76.062500,49.078579,2453200
1997-04-10,76.093750,76.546875,75.687500,75.781250,48.897118,1996500
1997-04-11,75.062500,75.312500,73.375000,73.375000,47.344490,4221600
1997-04-14,73.734375,74.453125,73.312500,74.359375,47.979645,3988500
1997-04-15,75.250000,75.640625,74.500000,75.625000,48.796307,2760400
1997-04-16,75.375000,76.609375,75.250000,76.500000,49.360867,2273300
1997-04-17,76.500000,77.000000,76.000000,76.187500,49.159248,1386000
1997-04-18,76.812500,76.984375,76.250000,76.562500,49.401211,1702100
1997-04-21,76.750000,76.906250,75.468750,76.062500,49.078579,2809400
1997-04-22,76.109375,77.734375,76.000000,77.734375,50.157360,3215000
1997-04-23,77.656250,78.031250,77.187500,77.812500,50.207741,2047700
1997-04-24,78.046875,78.281250,76.875000,77.421875,49.955711,2689900
1997-04-25,77.062500,77.203125,76.421875,76.531250,49.381027,1606200
1997-04-28,76.500000,77.812500,76.375000,77.281250,49.864975,1666500
1997-04-29,78.593750,79.781250,78.296875,79.718750,51.437756,3197400
1997-04-30,79.250000,80.687500,79.218750,80.093750,51.679707,3372200
1997-05-01,80.218750,80.531250,79.312500,80.000000,51.619225,2149500
1997-05-02,80.281250,81.671875,80.062500,81.437500,52.546726,1448300
1997-05-05,81.656250,83.562500,81.296875,83.375000,53.796917,3636200
1997-05-06,82.968750,83.468750,82.500000,83.312500,53.756584,1721100
1997-05-07,83.000000,83.000000,81.406250,81.500000,52.587082,2327200
1997-05-08,81.312500,83.218750,81.187500,82.062500,52.950016,2923700
1997-05-09,82.968750,83.125000,81.656250,82.625000,53.312977,2558200
1997-05-12,82.937500,84.250000,82.875000,84.000000,54.200195,2357900
1997-05-13,83.937500,84.093750,83.015625,83.656250,53.978394,1195100
1997-05-14,84.234375,84.500000,83.437500,83.812500,54.079205,2772000
1997-05-15,83.812500,84.593750,83.515625,84.375000,54.442169,884100
1997-05-16,84.125000,84.312500,83.000000,83.218750,53.696091,1934200
1997-05-19,83.312500,83.906250,83.062500,83.468750,53.857430,1375800
1997-05-20,83.281250,84.687500,82.750000,84.468750,54.502655,1756400
1997-05-21,84.687500,84.984375,83.656250,84.281250,54.381660,1208000
1997-05-22,84.375000,84.468750,83.562500,84.000000,54.200195,907600
1997-05-23,84.375000,85.218750,84.156250,84.781250,54.704269,644400
1997-05-27,84.375000,85.531250,84.265625,85.125000,54.926083,1531000
1997-05-28,85.125000,85.453125,84.515625,85.109375,54.915993,716700
1997-05-29,85.093750,85.250000,84.500000,84.609375,54.593369,1282700
1997-05-30,83.218750,85.562500,83.125000,85.156250,54.946247,2143300
1997-06-02,85.343750,85.500000,84.718750,84.781250,54.704269,1479100
1997-06-03,84.406250,85.437500,84.343750,84.500000,54.522789,1562100
1997-06-04,84.531250,84.750000,84.078125,84.406250,54.462330,1063100
1997-06-05,84.593750,85.312500,84.421875,84.718750,54.663952,1180800
1997-06-06,84.593750,86.437500,84.593750,86.375000,55.732628,1511100
1997-06-09,86.437500,86.875000,86.343750,86.812500,56.014938,1823400
1997-06-10,86.843750,87.406250,86.500000,87.078125,56.186268,1217500
1997-06-11,87.000000,87.406250,86.828125,87.281250,56.317398,1673800
1997-06-12,87.875000,89.000000,87.562500,88.968750,57.406212,4273300
1997-06-13,89.062500,90.000000,88.906250,89.718750,57.890175,2132900
1997-06-16,89.750000,90.000000,89.468750,89.750000,57.910297,800400
1997-06-17,89.437500,90.234375,88.937500,89.625000,57.829659,2048100
1997-06-18,89.125000,89.625000,88.968750,89.312500,57.628010,1971900
1997-06-19,89.609375,90.500000,89.375000,90.234375,58.222843,2029900
1997-06-20,89.937500,90.343750,89.500000,89.578125,58.024464,1396900
1997-06-23,89.406250,89.906250,87.343750,87.406250,56.617630,3991500
1997-06-24,88.250000,89.875000,88.000000,89.625000,58.054855,4895100
1997-06-25,89.484375,90.250000,87.937500,89.000000,57.650021,4708900
1997-06-26,88.843750,89.625000,87.687500,88.562500,57.366615,2569900
1997-06-27,88.968750,89.718750,88.687500,88.906250,57.589252,2617900
1997-06-30,88.906250,89.468750,87.875000,88.312500,57.204678,2384900
1997-07-01,88.500000,89.562500,88.390625,89.343750,57.872658,1749000
1997-07-02,89.562500,90.812500,89.218750,90.812500,58.824051,1961800
1997-07-03,91.875000,92.156250,91.468750,92.062500,59.633755,2539100
1997-07-07,92.375000,92.500000,90.906250,91.125000,59.026474,1158600
1997-07-08,91.250000,92.187500,91.187500,92.078125,59.643867,3396500
1997-07-09,92.312500,92.375000,90.031250,91.062500,58.986008,5390300
1997-07-10,91.125000,91.843750,90.484375,91.468750,59.249119,2072200
1997-07-11,91.593750,92.187500,91.375000,91.781250,59.451557,2258900
1997-07-14,91.890625,92.312500,91.218750,92.062500,59.633755,3186400
1997-07-15,92.312500,92.765625,91.468750,92.531250,59.937382,2983100
1997-07-16,93.125000,94.093750,92.890625,93.750000,60.726822,2621300
1997-07-17,93.625000,93.812500,92.781250,93.281250,60.423183,1794800
1997-07-18,93.015625,93.218750,91.062500,91.296875,59.137810,3961900
1997-07-21,91.281250,91.593750,90.687500,91.312500,59.147919,3810300
1997-07-22,91.687500,93.796875,91.625000,93.734375,60.716690,4243400
1997-07-23,93.937500,94.484375,93.531250,93.656250,60.666077,3204300
1997-07-24,93.937500,94.265625,92.687500,94.093750,60.949501,4152700
1997-07-25,94.562500,94.812500,93.625000,94.031250,60.908989,2364800
1997-07-28,94.250000,94.562500,93.500000,93.968750,60.868504,2794700
1997-07-29,93.625000,94.468750,93.421875,94.281250,61.070908,2737100
1997-07-30,94.500000,95.625000,94.406250,95.406250,61.799629,4839800
1997-07-31,95.406250,96.031250,95.031250,95.312500,61.738945,2138700
1997-08-01,95.500000,95.718750,93.812500,94.937500,61.496037,7077700
1997-08-04,94.781250,95.546875,94.406250,95.187500,61.657974,2339500
1997-08-05,95.093750,95.687500,94.906250,95.250000,61.698448,1466700
1997-08-06,95.437500,96.531250,95.062500,96.031250,62.204502,2478200
1997-08-07,96.500000,96.625000,95.125000,95.312500,61.738945,3641900
1997-08-08,94.312500,94.750000,92.406250,93.375000,60.483891,7113100
1997-08-11,93.750000,94.281250,92.625000,94.062500,60.929264,6355900
1997-08-12,94.218750,94.546875,92.468750,92.562500,59.957611,6132500
1997-08-13,93.687500,93.843750,91.468750,92.281250,59.775410,6982300
1997-08-14,93.093750,93.312500,91.718750,92.625000,59.998123,3462700
1997-08-15,92.125000,92.125000,89.625000,89.781250,58.156044,4907100
1997-08-18,90.375000,91.781250,89.343750,91.781250,59.451557,5638900
1997-08-19,92.218750,92.906250,91.531250,92.843750,60.139801,3802800
1997-08-20,92.937500,94.312500,92.609375,94.250000,61.050705,3564600
1997-08-21,94.125000,94.250000,92.093750,92.593750,59.977844,5392600
1997-08-22,91.000000,92.734375,90.562500,92.562500,59.957611,8087800
1997-08-25,92.781250,93.406250,91.843750,92.218750,59.734932,3888000
1997-08-26,92.000000,92.562500,90.703125,90.859375,58.854443,4290000
1997-08-27,91.000000,91.968750,90.406250,91.406250,59.208656,5484300
1997-08-28,91.187500,91.937500,90.000000,90.015625,58.307880,4287900
1997-08-29,90.125000,91.109375,89.718750,90.375000,58.540665,2652300
1997-09-02,90.687500,93.359375,90.593750,93.312500,60.443443,7294000
1997-09-03,93.296875,94.000000,92.750000,92.812500,60.119556,2812500
1997-09-04,93.062500,93.718750,92.750000,93.406250,60.504120,2473700
1997-09-05,93.968750,94.437500,92.593750,93.140625,60.332077,3663300
1997-09-08,93.718750,94.000000,93.312500,93.546875,60.595245,803500
1997-09-09,93.218750,94.281250,92.906250,93.593750,60.625641,1885200
1997-09-10,93.125000,93.500000,91.656250,91.656250,59.370571,3623700
1997-09-11,91.781250,91.906250,90.250000,91.187500,59.066963,7055900
1997-09-12,92.000000,92.968750,90.937500,92.656250,60.018353,6708000
1997-09-15,92.656250,93.312500,92.187500,92.500000,59.917118,2060500
1997-09-16,93.312500,95.281250,93.031250,94.812500,61.415066,6979000
1997-09-17,95.375000,95.500000,94.500000,94.812500,61.415066,2220000
1997-09-18,95.000000,96.375000,94.968750,95.218750,61.678207,5045400
1997-09-19,94.656250,95.359375,94.406250,95.031250,61.782528,1566400
1997-09-22,95.500000,96.203125,95.218750,95.562500,62.127903,3259000
1997-09-23,95.562500,95.703125,94.750000,95.125000,61.843529,1872800
1997-09-24,95.375000,96.109375,94.281250,94.343750,61.335579,2793100
1997-09-25,94.250000,94.750000,93.625000,93.687500,60.908936,6327800
1997-09-26,94.437500,94.812500,94.187500,94.468750,61.416855,3995800
1997-09-29,94.500000,95.562500,94.156250,95.375000,62.006042,2065000
1997-09-30,95.000000,95.687500,94.375000,94.375000,61.355911,4137600
1997-10-01,95.250000,95.812500,94.781250,95.625000,62.168560,3567500
1997-10-02,95.531250,96.187500,95.312500,96.156250,62.513966,2577500
1997-10-03,97.468750,97.750000,95.343750,96.640625,62.828850,6499900
1997-10-06,97.312500,97.609375,96.906250,97.281250,63.245312,2272100
1997-10-07,97.531250,98.500000,97.203125,98.187500,63.834534,1832800
1997-10-08,98.359375,98.375000,96.734375,97.500000,63.387520,4439400
1997-10-09,96.781250,97.609375,96.218750,97.156250,63.164066,3607600
1997-10-10,96.312500,96.984375,96.250000,96.875000,62.981239,2858100
1997-10-13,97.343750,97.546875,96.718750,96.968750,63.042160,1760300
1997-10-14,97.468750,97.500000,96.187500,97.000000,63.062481,2235700
1997-10-15,96.312500,97.062500,96.281250,96.781250,62.920258,2601700
1997-10-16,97.312500,97.500000,95.000000,95.250000,61.924774,9488100
1997-10-17,95.015625,95.375000,93.000000,94.281250,61.294952,8151300
1997-10-20,94.843750,95.750000,94.156250,95.625000,62.168560,3636400
1997-10-21,96.218750,97.500000,96.031250,97.484375,63.377392,5225400
1997-10-22,97.343750,97.390625,96.531250,96.843750,62.960888,4485200
1997-10-23,94.937500,95.750000,94.281250,94.937500,61.721600,8054100
1997-10-24,96.156250,96.156250,93.671875,94.000000,61.112095,6778700
1997-10-27,93.015625,93.937500,86.843750,87.187500,56.683109,10840700
1997-10-28,84.375000,92.875000,84.375000,92.218750,59.954082,19548000
1997-10-29,92.500000,93.750000,91.281250,91.968750,59.791527,10134400
1997-10-30,90.625000,92.562500,89.750000,89.937500,58.470955,9772900
1997-10-31,91.812500,92.500000,90.437500,92.062500,59.852497,7072700
1997-11-03,93.187500,94.375000,92.875000,94.000000,61.112095,5548500
1997-11-04,93.875000,94.437500,93.281250,94.000000,61.112095,3455700
1997-11-05,94.187500,95.281250,93.843750,94.312500,61.315269,4774900
1997-11-06,94.031250,94.343750,93.500000,93.953125,61.081608,3679800
1997-11-07,92.375000,93.250000,91.437500,92.937500,60.421341,10606800
1997-11-10,93.625000,93.843750,92.000000,92.375000,60.055641,4347900
1997-11-11,92.687500,93.062500,92.031250,92.406250,60.075966,3212400
1997-11-12,91.625000,92.718750,90.375000,90.500000,58.836658,6775300
1997-11-13,91.468750,92.156250,90.093750,91.812500,59.689964,8589600
1997-11-14,92.312500,93.390625,91.609375,93.062500,60.502598,5827900
1997-11-17,94.375000,95.312500,94.031250,94.781250,61.620003,5149900
1997-11-18,94.812500,95.093750,93.890625,94.187500,61.233997,3433600
1997-11-19,93.687500,95.062500,92.750000,94.656250,61.538750,4387900
1997-11-20,95.312500,96.531250,95.281250,96.093750,62.473301,4822700
1997-11-21,96.625000,96.812500,95.656250,96.750000,62.899940,5436500
1997-11-24,96.000000,96.343750,94.625000,95.000000,61.762226,4337200
1997-11-25,95.625000,95.812500,94.656250,95.250000,61.924774,4525000
1997-11-26,95.875000,95.984375,95.312500,95.531250,62.107605,2681100
1997-11-28,95.750000,96.250000,95.593750,95.625000,62.168560,1564700
1997-12-01,96.218750,98.093750,96.031250,98.093750,63.773567,4850900
1997-12-02,97.687500,97.984375,97.250000,97.500000,63.387520,1974900
1997-12-03,97.625000,98.531250,96.875000,97.781250,63.570412,3302500
1997-12-04,98.500000,98.718750,97.375000,97.687500,63.509430,2872500
1997-12-05,97.375000,99.000000,97.125000,98.937500,64.322121,3458800
1997-12-08,98.968750,99.000000,98.250000,98.656250,64.139313,2289200
1997-12-09,98.218750,98.593750,97.625000,98.062500,63.753265,1703000
1997-12-10,97.562500,97.843750,96.468750,97.218750,63.204727,3558400
1997-12-11,96.312500,96.593750,95.312500,95.562500,62.127903,5072800
1997-12-12,96.437500,96.500000,94.906250,95.750000,62.249817,4478400
1997-12-15,96.250000,97.109375,95.875000,96.718750,62.879627,4674700
1997-12-16,97.218750,97.812500,96.875000,97.312500,63.265678,2885800
1997-12-17,97.843750,97.875000,96.703125,96.812500,62.940582,2236300
1997-12-18,96.937500,96.937500,95.218750,95.875000,62.331078,4658300
1997-12-19,94.531250,95.875000,92.375000,94.781250,61.865215,8556000
1997-12-22,95.437500,95.906250,94.562500,95.390625,62.262951,5136800
1997-12-23,95.437500,95.625000,93.531250,93.687500,61.151291,4436500
1997-12-24,94.437500,94.437500,93.250000,93.406250,60.967731,2019200
1997-12-26,94.125000,94.125000,93.406250,93.781250,61.212482,941800
1997-12-29,94.593750,95.718750,94.437500,95.625000,62.415947,2080000
1997-12-30,95.937500,97.250000,95.843750,97.125000,63.395035,3616000
1997-12-31,96.875000,97.625000,96.687500,97.062500,63.354210,4359500
1998-01-02,97.312500,97.656250,96.531250,97.562500,63.680595,2360900
1998-01-05,97.843750,98.437500,96.781250,97.781250,63.823376,4191800
1998-01-06,97.250000,97.281250,96.187500,96.218750,62.803513,3154900
1998-01-07,96.093750,96.718750,95.218750,96.468750,62.966694,4424200
1998-01-08,96.312500,96.312500,95.375000,95.625000,62.415947,3831000
1998-01-09,95.250000,95.500000,91.906250,92.312500,60.253815,10258800
1998-01-12,91.125000,94.187500,90.906250,94.000000,61.355267,12097900
1998-01-13,94.625000,95.375000,94.218750,95.312500,62.211994,5224900
1998-01-14,95.687500,95.968750,94.718750,95.750000,62.497540,3770400
1998-01-15,95.500000,95.750000,94.812500,94.953125,61.977402,2875400
1998-01-16,96.250000,96.687500,95.656250,96.312500,62.864712,4374800
1998-01-20,96.687500,98.015625,96.500000,97.875000,63.884571,5091700
1998-01-21,97.218750,97.687500,96.156250,96.937500,63.272655,4699400
1998-01-22,96.156250,96.875000,95.875000,96.078125,62.711708,4543400
1998-01-23,96.500000,96.781250,95.000000,95.937500,62.619930,6350300
1998-01-26,96.375000,96.734375,95.406250,95.875000,62.579098,4362900
1998-01-27,95.812500,97.500000,95.656250,96.843750,63.211452,7044200
1998-01-28,97.406250,98.109375,97.187500,97.718750,63.782581,4268600
1998-01-29,97.843750,99.562500,97.562500,98.250000,64.129303,8007700
1998-01-30,98.781250,98.968750,98.000000,98.312500,64.170105,3649100
1998-02-02,99.906250,100.500000,99.750000,99.937500,65.230766,5756300
1998-02-03,100.000000,100.812500,99.718750,100.687500,65.720337,2759600
1998-02-04,100.281250,101.156250,99.937500,100.562500,65.638763,3374000
1998-02-05,101.312500,101.593750,100.031250,100.500000,65.597954,5076200
1998-02-06,101.000000,101.625000,100.687500,101.625000,66.332260,5701200
1998-02-09,101.718750,101.750000,100.718750,101.281250,66.107880,2322200
1998-02-10,101.437500,102.468750,101.187500,102.250000,66.740181,3660400
1998-02-11,102.093750,102.343750,101.703125,102.156250,66.679001,4073200
1998-02-12,101.718750,102.937500,100.875000,102.593750,66.964554,5024700
1998-02-13,102.187500,102.515625,101.875000,102.000000,66.577003,2101300
1998-02-17,102.812500,103.093750,102.156250,102.500000,66.903366,3055500
1998-02-18,102.312500,103.484375,102.281250,103.437500,67.515259,3007400
1998-02-19,103.250000,103.406250,102.750000,102.890625,67.158356,3387800
1998-02-20,103.156250,103.718750,102.375000,103.656250,67.658089,3707000
1998-02-23,104.250000,104.250000,103.343750,104.062500,67.923233,3227800
1998-02-24,103.906250,104.093750,102.937500,103.250000,67.392906,3386800
1998-02-25,103.750000,104.875000,103.625000,104.531250,68.229195,3481800
1998-02-26,104.437500,105.218750,104.187500,105.125000,68.616707,3187600
1998-02-27,104.968750,105.531250,104.531250,105.125000,68.616707,3442900
1998-03-02,105.250000,105.750000,104.625000,104.906250,68.473953,4252300
1998-03-03,104.531250,105.625000,104.531250,105.500000,68.861526,3349200
1998-03-04,105.093750,105.406250,104.437500,104.812500,68.412773,4404100
1998-03-05,103.500000,104.437500,103.156250,103.843750,67.780449,7268000
1998-03-06,104.562500,105.937500,104.437500,105.937500,69.147079,6896300
1998-03-09,105.531250,106.218750,105.250000,105.562500,68.902298,3362800
1998-03-10,106.218750,106.843750,105.937500,106.562500,69.555016,5481900
1998-03-11,106.968750,107.312500,106.781250,107.062500,69.881401,3439600
1998-03-12,107.093750,107.593750,106.500000,107.500000,70.166969,3191300
1998-03-13,107.843750,108.000000,106.875000,107.093750,69.901810,2879400
1998-03-16,107.843750,108.375000,107.531250,108.250000,70.656464,3223600
1998-03-17,108.312500,108.562500,107.656250,108.562500,70.860458,4581900
1998-03-18,108.250000,108.968750,108.031250,108.968750,71.125610,1944100
1998-03-19,108.968750,109.375000,108.656250,109.250000,71.309227,2554800
1998-03-20,109.562500,110.187500,108.875000,109.875000,71.923195,3123300
1998-03-23,109.718750,110.312500,109.406250,109.625000,71.759552,4453100
1998-03-24,110.062500,110.812500,109.937500,110.562500,72.373199,3333600
1998-03-25,111.406250,111.531250,109.187500,110.156250,72.107307,4597600
1998-03-26,109.875000,110.750000,109.625000,110.093750,72.066422,3333500
1998-03-27,110.750000,110.781250,109.000000,109.625000,71.759552,2611300
1998-03-30,109.625000,110.093750,108.968750,109.562500,71.718643,3108700
1998-03-31,110.156250,111.187500,109.750000,109.937500,71.964149,5926500
1998-04-01,110.312500,111.078125,109.406250,110.828125,72.547112,2929000
1998-04-02,110.937500,112.250000,110.750000,112.031250,73.334648,3920900
1998-04-03,112.343750,112.812500,111.843750,112.593750,73.702904,3787600
1998-04-06,113.250000,113.375000,111.687500,111.687500,73.109650,4550500
1998-04-07,111.750000,111.937500,110.156250,110.937500,72.618736,5583700
1998-04-08,111.218750,111.281250,109.750000,110.312500,72.209595,4854800
1998-04-09,110.562500,111.281250,110.531250,111.187500,72.782356,4481200
1998-04-13,111.375000,111.375000,110.000000,110.875000,72.577820,4350200
1998-04-14,111.125000,111.812500,110.906250,111.812500,73.191467,3279100
1998-04-15,111.968750,112.125000,111.156250,112.125000,73.396042,3867200
1998-04-16,111.312500,111.500000,110.500000,110.812500,72.536896,7177900
1998-04-17,110.718750,112.437500,110.437500,112.281250,73.498344,5688800
1998-04-20,112.000000,112.562500,111.875000,112.250000,73.477859,3688300
1998-04-21,112.437500,113.156250,111.906250,112.781250,73.825592,4573200
1998-04-22,112.875000,113.437500,112.812500,113.093750,74.030190,2386100
1998-04-23,112.625000,113.000000,111.750000,112.000000,73.314209,5062000
1998-04-24,111.750000,112.468750,110.343750,110.812500,72.536896,11039700
1998-04-27,109.375000,109.687500,107.625000,108.718750,71.166344,14510200
1998-04-28,109.781250,109.812500,108.125000,108.562500,71.064049,6511400
1998-04-29,109.031250,109.968750,108.437500,109.312500,71.555016,7703100
1998-04-30,110.562500,111.921875,110.406250,111.343750,72.884651,8684500
1998-05-01,111.750000,112.593750,111.312500,112.593750,73.702904,4008800
1998-05-04,112.718750,113.312500,112.156250,112.312500,73.518761,4537200
1998-05-05,112.000000,112.156250,111.125000,111.531250,73.007362,5146400
1998-05-06,112.125000,112.125000,110.187500,110.218750,72.148216,5526100
1998-05-07,110.500000,110.562500,109.343750,109.343750,71.575478,6940400
1998-05-08,110.000000,111.375000,110.000000,111.125000,72.741432,7951000
1998-05-11,111.562500,112.218750,110.375000,110.750000,72.495956,6336300
1998-05-12,110.812500,111.968750,110.343750,111.937500,73.273338,6045200
1998-05-13,112.062500,112.562500,111.593750,112.218750,73.457413,4441500
1998-05-14,111.531250,112.687500,111.343750,111.656250,73.089203,4187500
1998-05-15,112.000000,112.218750,110.812500,111.031250,72.680115,6716100
1998-05-18,110.718750,111.593750,109.828125,110.593750,72.393692,4847200
1998-05-19,111.000000,111.687500,110.781250,111.343750,72.884651,5918700
1998-05-20,112.093750,112.500000,110.875000,112.406250,73.580139,5716600
1998-05-21,112.375000,112.781250,111.312500,111.687500,73.109650,6301500
1998-05-22,111.750000,112.062500,110.937500,111.250000,72.823235,4862200
1998-05-26,112.093750,112.093750,109.187500,109.468750,71.657272,6899300
1998-05-27,108.531250,109.906250,107.578125,109.625000,71.759552,10202600
1998-05-28,109.875000,110.375000,109.062500,110.125000,72.086868,4907600
1998-05-29,110.625000,110.812500,109.031250,109.031250,71.370888,4772600
1998-06-01,108.968750,110.218750,108.562500,109.531250,71.698151,6092200
1998-06-02,110.000000,110.343750,109.156250,109.625000,71.759552,6701100
1998-06-03,109.875000,110.187500,107.875000,107.875000,70.614037,6445100
1998-06-04,108.250000,110.062500,108.062500,109.875000,71.923195,6566300
1998-06-05,110.375000,112.000000,109.875000,112.000000,73.314209,8463200
1998-06-08,111.937500,112.468750,111.656250,111.875000,73.232414,4159900
1998-06-09,111.718750,112.421875,111.406250,112.218750,73.457413,2725300
1998-06-10,111.625000,113.062500,111.250000,111.500000,72.986931,6186900
1998-06-11,111.437500,111.875000,109.375000,109.406250,71.616371,8056600
1998-06-12,109.875000,110.437500,108.250000,110.437500,72.291397,9779000
1998-06-15,108.812500,109.906250,107.500000,107.531250,70.389030,10234200
1998-06-16,108.406250,109.218750,107.750000,109.187500,71.473190,7471500
1998-06-17,110.156250,111.781250,109.937500,111.468750,72.966484,12057700
1998-06-18,111.187500,111.437500,110.750000,110.968750,72.639175,3844600
1998-06-19,111.062500,111.234375,109.625000,110.062500,72.275185,3549100
1998-06-22,110.250000,111.062500,110.062500,110.593750,72.624046,5438300
1998-06-23,111.093750,112.062500,111.000000,111.906250,73.485931,5004600
1998-06-24,112.156250,113.687500,111.609375,113.406250,74.470955,8291900
1998-06-25,113.906250,114.437500,112.812500,113.218750,74.347847,5854800
1998-06-26,113.312500,113.843750,113.125000,113.687500,74.655647,4833100
